clade_order	clade_id	clade_name	priority	expected_species	why_needed
1	urochordata	Urochordata / tunicates	OUTGROUP	ciona_intestinalis;ciona_savignyi	outgroup for vertebrate comparison
2	cyclostomata_hagfish	Cyclostomata / hagfish	CRITICAL	eptatretus_burgeri	jawless vertebrate currently present
3	cyclostomata_lamprey	Cyclostomata / lampreys	CRITICAL	petromyzon_marinus;lethenteron_camtschaticum;entosphenus_tridentatus	critical missing branch between hagfish and jawed vertebrates
4	chondrichthyes_holocephali	Chondrichthyes / holocephali	CRITICAL	callorhinchus_milii	earliest current confident jawed vertebrate branch
5	chondrichthyes_elasmobranchii	Chondrichthyes / sharks and rays	HIGH	scyliorhinus_canicula;leucoraja_erinacea;rhincodon_typus	test whether cartilaginous fish signal is broader than Callorhinchus
6	sarcopterygii_coelacanth	Sarcopterygii / coelacanth	HIGH	latimeria_chalumnae	lobe-finned fish before tetrapods
7	sarcopterygii_lungfish	Sarcopterygii / lungfish	HIGH	protopterus_annectens;neoceratodus_forsteri	critical sister region near tetrapod origin if available
8	actinopterygii_gar	Holostei / gar	HIGH	lepisosteus_oculatus	basal ray-finned fish
9	teleostei_basal	Teleostei / early teleosts	MEDIUM	clupea_harengus;esox_lucius	early teleost sampling
10	teleostei_model	Teleostei / model fish	MEDIUM	danio_rerio;oryzias_latipes;gasterosteus_aculeatus	teleost model species
11	amphibia	Amphibia	HIGH	xenopus_tropicalis;leptobrachium_leishanense	test tetrapod-side conservation and divergence
12	sauropsida_reptiles	Reptiles	HIGH	anolis_carolinensis;podarcis_muralis;crocodylus_porosus	non-avian sauropsids
13	sauropsida_birds	Birds	MEDIUM	gallus_gallus;taeniopygia_guttata;struthio_camelus_australis	bird branch
14	mammalia_monotreme	Monotremata	HIGH	ornithorhynchus_anatinus	early mammalian branch
15	mammalia_marsupial	Marsupialia	MEDIUM	monodelphis_domestica;sarcophilus_harrisii	viviparity/mammalian branch comparison
16	mammalia_placental	Placentalia	MEDIUM	homo_sapiens;mus_musculus;bos_taurus;canis_lupus_familiaris	placental reference diversity
